ORGANISME,CODE_QUALIFICATION,LIBELLE_QUALIFICATION,DOMAINE_TRAVAUX,META_DOMAINE,,
qualibat,8731,Réalisation d'audit énergétique en maison individuelle,Audit énergétique,Etudes énergétiques,,
qualibat,5222D103,"Installation de chauffage avec chaudière bois en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Chaudière bois,Installation d'énergies renouvelables,,
qualibat,5223D103,"Installation de chauffage avec chaudière bois en habitat individuel, collectif et tertiaire supérieur à 1000 m²",Chaudière bois,Installation d'énergies renouvelables,,
qualibat,8621T15D103,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Chaudière bois,Installation d'énergies renouvelables,,
qualibat,5111D101,"Installation de plomberie sanitaire en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5112D101,Installation de plomberie sanitaire pour des bâtiments sans surpresseur supérieurs à 1000 m²,Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5113D101,Installation de plomberie sanitaire dans tout type de bâtiment avec surpresseur ou dans l'industrie,Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5211D101,Remplacement de chaudière gaz/fuel en logement individuel,Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5212D101,"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5213D101,"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire supérieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5214D101,"Installation de chauffage à gaz décentralisée : aérotherme, radiants, générateur d'air chaud",Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5261D101,"Entretien et maintenance d'installation de chauffage avec chaudière en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5262D101,Maintenance d'installation de chauffage avec chaudière dans tout type de bâtiment supérieur à 1000 m2,Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5263D101,"Maintenance d'installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5273D101,"Exploitation d'installation de chauffage et de rafraichissement avec garantie totale en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5274D101,Exploitation d'installation de chauffage et de rafraichissement avec garantie totale dans tout type de bâtiment supérieur à 1000 m2,Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,8611M11D101,"Efficacité énergétique - ""ECO Artisan®"" - Plombier",Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,8611M12D101,"Efficacité énergétique - ""ECO Artisan®"" - Chauffagiste",Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,8621T14D101,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Chauffage, ventilation, climatisation",Chaudière condensation ou micro-cogénération gaz ou fioul,Travaux d'efficacité énergétique,,
qualibat,5111D5,"Installation de plomberie sanitaire en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5112D5,Installation de plomberie sanitaire pour des bâtiments sans surpresseur supérieurs à 1000 m²,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5113D5,Installation de plomberie sanitaire dans tout type de bâtiment avec surpresseur ou dans l'industrie,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5114D5,Plomberie et fluides spéciaux,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5121D5,Installation de réseaux de fluides spéciaux,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5211D5,Remplacement de chaudière gaz/fuel en logement individuel,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5212D5,"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5213D5,"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire supérieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5261D5,"Entretien et maintenance d'installation de chauffage avec chaudière en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5262D5,Maintenance d'installation de chauffage avec chaudière dans tout type de bâtiment supérieur à 1000 m2,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5273D5,"Exploitation d'installation de chauffage et de rafraichissement avec garantie totale en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5274D5,Exploitation d'installation de chauffage et de rafraichissement avec garantie totale dans tout type de bâtiment supérieur à 1000 m2,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5311D5,Installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5312D5,Installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5313D5,Installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5361D5,Rénovation d'installations de chauffage,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5362D5,Rénovation de chaufferies,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5363D5,Rénovation de chaufferies,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5412D5,Climatisation,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5413D5,Climatisation,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5414D5,Climatisation,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5511D5,Maintenance d'installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5512D5,Maintenance d'installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5513D5,Maintenance d'installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5532D5,Exploitation sans garantie totale d'installations d'importance moyenne,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5533D5,Exploitation sans garantie totale d'installations de toute importance,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5542D5,Exploitation avec garantie totale d'installations de faible et moyenne importance,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5543D5,Exploitation avec garantie totale d'installations d'importance moyenne,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5544D5,Exploitation avec garantie totale d'installations de toute importance,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5554D5,Gestion d'équipements de production et de transport d'énergie calorifique ou frigorifique,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5561D5,Maintenance des appareils individuels de production de chauffage et d'eau chaude sanitaire,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5562D5,Maintenance des appareils individuels de chauffage et d'eau chaude sanitaire et VMC gaz associé,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,8611M11D5,"Efficacité énergétique - ""ECO Artisan®"" - Plombier",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,8611M12D5,"Efficacité énergétique - ""ECO Artisan®"" - Chauffagiste",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,8621T14D5,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Chauffage, ventilation, climatisation",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,8621T20D5,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Eau chaude sanitaire",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,PG00D5,Professionnel du Gaz - Efficacité énergétique,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,Travaux d'efficacité énergétique,,
qualibat,5221D1,Installation d'appareil de chauffage bois indépendant : poêle et insert,Chauffage et/ou eau chaude au bois 2020,Installation d'énergies renouvelables,,
qualibat,5222D1,"Installation de chauffage avec chaudière bois en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Chauffage et/ou eau chaude au bois 2020,Installation d'énergies renouvelables,,
qualibat,5223D1,"Installation de chauffage avec chaudière bois en habitat individuel, collectif et tertiaire supérieur à 1000 m²",Chauffage et/ou eau chaude au bois 2020,Installation d'énergies renouvelables,,
qualibat,8411D1,Installations thermiques bois énergie en habitat individuel,Chauffage et/ou eau chaude au bois 2020,Installation d'énergies renouvelables,,
qualibat,8412D1,Installations thermiques bois énergie en habitat collectif ou tertiaire,Chauffage et/ou eau chaude au bois 2020,Installation d'énergies renouvelables,,
qualibat,8413D1,Installations thermiques bois énergie en habitat collectif ou tertiaire,Chauffage et/ou eau chaude au bois 2020,Installation d'énergies renouvelables,,
qualibat,8621T15D1,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Chauffage et/ou eau chaude au bois 2020,Installation d'énergies renouvelables,,
qualibat,5131D102,"Installation de chauffe-eau solaire en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Chauffage et/ou eau chaude solaire,Installation d'énergies renouvelables,,
qualibat,5132D102,Installation de chauffe-eau solaire dans tout type de bâtiment supérieur à 1000 m²,Chauffage et/ou eau chaude solaire,Installation d'énergies renouvelables,,
qualibat,5241D102,Installation de chauffage solaire et ecs,Chauffage et/ou eau chaude solaire,Installation d'énergies renouvelables,,
qualibat,8621T15D102,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Chauffage et/ou eau chaude solaire,Installation d'énergies renouvelables,,
qualibat,5131D2,"Installation de chauffe-eau solaire en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Chauffage et/ou eau chaude solaire 2020,Installation d'énergies renouvelables,,
qualibat,5132D2,Installation de chauffe-eau solaire dans tout type de bâtiment supérieur à 1000 m²,Chauffage et/ou eau chaude solaire 2020,Installation d'énergies renouvelables,,
qualibat,8211D2,Installations solaires thermiques en habitat individuel,Chauffage et/ou eau chaude solaire 2020,Installation d'énergies renouvelables,,
qualibat,8212D2,Installations solaires thermiques en habitat collectif ou tertiaire,Chauffage et/ou eau chaude solaire 2020,Installation d'énergies renouvelables,,
qualibat,8213D2,Installations solaires thermiques en habitat collectif ou tertiaire avec contrôle des performances,Chauffage et/ou eau chaude solaire 2020,Installation d'énergies renouvelables,,
qualibat,8214D2,Installations solaires thermiques,Chauffage et/ou eau chaude solaire 2020,Installation d'énergies renouvelables,,
qualibat,8621T15D2,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Chauffage et/ou eau chaude solaire 2020,Installation d'énergies renouvelables,,
qualibat,5133D106,Installation de chauffe-eau thermodynamique,Chauffe-Eau Thermodynamique,Installation d'énergies renouvelables,,
qualibat,5231D106,"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chauffe-Eau Thermodynamique,Installation d'énergies renouvelables,,
qualibat,5232D106,"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire supérieur à 1000 m²",Chauffe-Eau Thermodynamique,Installation d'énergies renouvelables,,
qualibat,8621T15D106,"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Chauffe-Eau Thermodynamique,Installation d'énergies renouvelables,,
qualibat,5111D10,Plomberie - sanitaire,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5111D9,"Installation de plomberie sanitaire en habitat individuel, collectif et tertiaire inférieur à 1000 m²","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5112D9,Installation de plomberie sanitaire pour des bâtiments sans surpresseur supérieurs à 1000 m²,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5113D9,Installation de plomberie sanitaire dans tout type de bâtiment avec surpresseur ou dans l'industrie,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5114D9,Plomberie et fluides spéciaux,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5121D9,Installation de réseaux de fluides spéciaux,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5211D9,Remplacement de chaudière gaz/fuel en logement individuel,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5212D9,"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire inférieur à 1000 m2","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5213D9,"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire supérieur à 1000 m2","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5231D9,"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire inférieur à 1000 m2","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5261D9,"Entretien et maintenance d'installation de chauffage avec chaudière en habitat individuel, collectif et tertiaire inférieur à 1000 m2","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5262D9,Maintenance d'installation de chauffage avec chaudière dans tout type de bâtiment supérieur à 1000 m2,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5311D9,Installations thermiques,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5312D9,Installations thermiques,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5313D9,Installations thermiques,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5342D9,Régulation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5361D9,Rénovation d'installations de chauffage,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5362D9,Rénovation de chaufferies,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5363D9,Rénovation de chaufferies,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5412D9,Climatisation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5413D9,Climatisation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
qualibat,5414D9,Climatisation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",Travaux d'efficacité énergétique,,
